,Clouds,Clear,Mist,Rain,Snow,Drizzle,Haze,Thunderstorm,Fog,Smoke,Squall,sky is clear,mist,overcast clouds,broken clouds,scattered clouds,light rain,few clouds,light snow,Sky is Clear,moderate rain,haze,light intensity drizzle,fog,proximity thunderstorm,drizzle,heavy snow,heavy intensity rain,snow,proximity shower rain,thunderstorm,heavy intensity drizzle,thunderstorm with heavy rain,thunderstorm with light rain,proximity thunderstorm with rain,thunderstorm with rain,smoke,very heavy rain,thunderstorm with light drizzle,proximity thunderstorm with drizzle,light intensity shower rain,light shower snow,shower drizzle,light rain and snow,SQUALLS,sleet,thunderstorm with drizzle,freezing rain,shower snow,sky is clear_0,mist_0,broken clouds_0,light rain_0,broken clouds_1,moderate rain_0,overcast clouds_0,overcast clouds_2,overcast clouds_1,scattered clouds_0,light intensity drizzle_0,haze_0,light rain_1,few clouds_1,light snow_0,scattered clouds_2,scattered clouds_1,fog_0,overcast clouds_3,mist_1,mist_2,broken clouds_2,drizzle_0,proximity thunderstorm_0,few clouds_0,scattered clouds_3,heavy intensity rain_0,few clouds_2,heavy snow_0,light snow_1,mist_3,light snow_2,overcast clouds_4,light rain_2,snow_0,light snow_3,broken clouds_3,moderate rain_1,mist_4,haze_1,proximity shower rain_0,mist_5,thunderstorm_0,light snow_4,proximity thunderstorm_1,heavy snow_1,thunderstorm with heavy rain_0,broken clouds_4,drizzle_1,heavy intensity drizzle_0,thunderstorm with light rain_0,haze_2,fog_1,proximity thunderstorm with rain_0,heavy snow_3,mist_6,heavy snow_2,thunderstorm with rain_0,haze_3,haze_7,proximity thunderstorm_2,heavy snow_4,fog_2,smoke_0,very heavy rain_0,heavy intensity rain_1,haze_4,heavy intensity rain_2,thunderstorm with light drizzle_0,heavy snow_6,light intensity shower rain_0,proximity thunderstorm with drizzle_0,haze_8,snow_1,light shower snow_0,haze_5,moderate rain_2,heavy snow_5,shower drizzle_0,light rain and snow_0,scattered clouds_4,haze_6,mist_7,heavy intensity drizzle_1,SQUALLS_0,sleet_0,few clouds_3,thunderstorm with rain_1,proximity thunderstorm with rain_1,freezing rain_0,thunderstorm with drizzle_0,drizzle_2,sky is clear_1,proximity shower rain_1,light intensity drizzle_1,light rain_3,snow_2,shower snow_0,proximity thunderstorm_3,heavy intensity rain_3
heavy intensity drizzle,0.06,0.0,28.96,41.96,0.48,81.34,1.37,2.85,0.51,0.0,0.0,0.0,28.96,0.15,0.14,0.0,7.0,0.0,0.51,0.0,17.71,1.37,5.85,0.51,2.18,33.92,0.0,14.73,1.71,4.42,3.52,48.39,1.94,0.0,4.69,0.0,0.0,0.0,13.03,34.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.25,9.18,0.0,18.41,0.38,0.0,0.0,0.0,5.85,1.55,0.0,0.0,0.75,0.0,0.0,0.53,0.0,3.59,0.64,0.0,31.18,2.36,0.0,0.0,15.23,0.0,0.0,0.85,0.0,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.0,0.0,4.42,0.0,3.52,0.0,0.0,0.0,1.94,0.0,11.86,49.34,0.0,0.0,0.0,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.03,0.0,0.0,34.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thunderstorm with heavy rain,0.45,0.24,3.49,26.57,0.12,1.97,1.39,82.53,0.26,0.0,38.86,0.25,3.49,0.58,0.47,0.82,4.05,0.19,0.17,0.34,4.56,1.39,2.54,0.26,38.11,0.25,0.0,25.22,0.0,6.1,18.62,1.85,28.7,15.85,27.46,15.2,0.0,34.7,13.25,0.0,0.0,0.0,0.0,0.0,38.86,0.0,45.72,0.0,0.0,0.24,4.54,0.67,5.31,0.3,4.74,1.02,0.0,0.72,1.27,2.54,1.33,0.0,0.43,0.25,0.0,0.89,0.27,0.0,0.0,0.0,0.0,0.26,33.43,0.48,0.0,26.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,0.0,2.13,6.1,0.0,18.62,0.0,11.54,0.0,28.7,0.0,0.0,1.88,15.85,0.0,0.0,27.97,0.0,0.0,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,34.7,13.62,0.0,0.0,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.86,0.0,0.0,0.0,0.0,0.0,45.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thunderstorm with light rain,0.66,0.38,1.82,13.99,0.0,1.57,1.14,32.67,0.0,0.0,0.0,0.3,1.82,0.69,0.66,1.44,6.17,0.22,0.0,1.24,4.08,1.14,1.95,0.0,30.14,0.59,0.0,7.06,0.0,11.24,7.31,0.0,27.72,18.82,8.56,28.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,2.19,0.97,8.09,0.35,4.24,1.75,0.0,0.0,2.41,1.95,1.01,1.43,0.51,0.0,0.0,1.05,0.0,0.0,0.0,0.76,0.0,0.63,32.67,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.24,0.0,7.31,0.0,0.0,0.0,27.72,0.0,0.0,0.0,18.82,0.0,0.0,8.72,0.0,0.0,0.0,29.12,18.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proximity thunderstorm with rain,0.29,0.07,3.62,142.65,0.0,5.47,0.68,25.98,0.0,0.0,0.0,0.08,3.62,0.19,0.47,0.35,8.83,0.0,0.0,0.0,8.74,0.68,6.09,0.0,15.19,2.01,0.0,17.3,0.0,9.57,11.14,4.58,12.98,16.02,26.46,4.4,0.0,0.0,7.92,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,4.35,0.47,7.6,0.73,9.08,0.23,0.54,0.0,0.74,6.09,0.77,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,15.24,0.0,0.0,17.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,0.0,9.57,0.0,11.14,0.0,19.23,0.0,12.98,0.0,0.0,4.67,16.02,0.0,0.0,26.95,0.0,0.0,0.0,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.56,0.0,0.0,7.92,0.0,0.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thunderstorm with rain,0.45,0.26,4.03,31.7,0.2,1.9,0.31,42.79,0.91,0.0,0.0,0.24,4.03,0.56,0.69,0.5,4.62,0.0,0.0,0.58,9.1,0.31,1.89,0.91,23.27,1.36,0.0,26.49,0.97,2.5,6.32,0.0,33.65,4.18,12.84,12.81,0.0,0.0,0.0,23.29,0.0,0.0,0.0,0.0,0.0,0.0,78.74,0.0,0.0,0.26,5.24,0.68,4.38,1.05,9.45,1.04,0.0,0.61,1.06,1.89,0.35,2.14,0.0,0.0,0.0,0.0,0.95,0.0,0.0,1.11,0.0,1.44,22.61,0.0,0.0,27.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,6.32,0.0,6.41,0.0,33.65,0.0,0.0,0.0,4.18,0.0,0.0,13.08,0.0,0.0,0.0,13.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.46,0.0,0.0,0.0,0.0,0.0,23.29,0.0,27.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smoke,0.22,0.19,2.01,1.51,0.0,2.3,211.82,0.0,0.84,3634.04,0.0,0.22,2.01,0.0,0.49,0.0,1.31,0.62,0.0,0.0,1.73,211.82,3.25,0.84,0.0,2.72,0.0,10.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3634.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,2.61,0.0,1.72,2.03,1.8,0.0,0.0,0.0,0.0,3.25,113.73,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,2.88,0.0,1.58,0.0,11.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3634.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
very heavy rain,0.78,0.48,1.96,7.27,0.42,0.86,0.0,17.19,0.0,0.0,141.72,0.12,1.96,0.58,0.89,0.33,1.12,1.46,0.61,4.2,1.98,0.0,1.22,0.0,22.16,0.0,0.0,31.71,2.05,0.0,8.95,0.0,46.91,0.0,0.0,13.19,0.0,63.98,23.77,23.97,0.0,0.0,0.0,0.0,141.72,0.0,0.0,0.0,0.0,0.48,2.55,0.46,1.47,2.29,2.06,1.47,0.0,0.0,0.71,1.22,0.0,0.0,1.58,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.22,1.76,0.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.95,0.0,46.15,0.0,46.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.71,0.0,0.0,0.0,0.0,0.0,0.0,63.98,0.0,0.0,0.0,23.77,0.0,0.0,23.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thunderstorm with light drizzle,0.09,0.12,6.75,39.16,0.0,10.34,0.0,89.41,0.0,0.0,0.0,0.14,6.75,0.33,0.0,0.0,2.62,0.0,0.0,0.0,13.86,0.0,6.5,0.0,70.91,5.61,0.0,40.36,0.0,22.49,26.04,8.19,30.49,10.76,10.39,0.0,0.0,0.0,28.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,8.77,0.0,3.43,0.0,14.4,0.84,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94,52.85,0.0,0.0,41.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.49,0.0,26.04,0.0,16.48,0.0,30.49,0.0,0.0,8.35,10.76,0.0,0.0,10.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proximity thunderstorm with drizzle,0.22,0.14,8.18,0,0.0,15.51,0.0,30.95,0.0,0.0,0.0,0.17,8.18,0.39,0.37,0.0,13.08,0.0,0.0,0.0,0,0.0,6.09,0.0,28.36,17.99,0.0,12.61,0.0,0.0,13.02,9.55,0.0,12.55,12.13,0.0,0.0,0.0,73.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,10.64,0.65,17.16,0.0,0,0.98,0.0,0.0,0.0,6.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.0,0.0,19.06,22.42,0.0,0.0,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.02,0.0,19.23,0.0,0.0,0.0,0.0,9.74,12.55,0.0,0.0,12.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
light intensity shower rain,1.95,0.14,0.0,33.57,0.0,5.91,3.34,0.0,0.0,0.0,0.0,0.17,0.0,0.84,2.77,0.47,6.28,0.0,0.0,0.0,8.08,3.34,4.33,0.0,0.0,4.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,4.84,4.41,0.0,8.4,0.98,0.0,1.83,1.0,4.33,3.79,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
light shower snow,0.0,0.0,0.92,0.28,0,0.0,6.37,1.38,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.39,0.0,103.02,0.0,0.0,6.37,0.0,0.0,1.77,0.0,0.0,0.0,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1562.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22,0.0,0.0,5.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,11.95,0.0,125.1,0.0,0.0,7.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1562.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shower drizzle,0.0,0.0,0,5.59,0,3.45,0.0,6.88,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.92,0.0,51.51,0.0,13.86,0.0,4.88,0.0,8.86,7.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.34,0.0,0.0,344.11,0.0,481.84,0.0,0.0,0,0.0,5.15,0.0,14.4,0.0,0.0,0.0,0.0,4.88,0.0,4.86,0.0,76.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.17,9.61,0.0,0.0,0.0,0.0,0.0,10.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.34,0.0,0.0,0.0,0.0,0.0,0.0,344.11,0.0,0.0,0.0,481.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
light rain and snow,0.61,0.0,12.27,13.99,7.16,6.89,0.0,0.0,3.18,0.0,0.0,0.0,12.27,2.32,0.89,0.0,19.62,0.0,0.0,0.0,6.93,0.0,0.0,3.18,0.0,15.42,6.23,0.0,17.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.34,0.0,0.0,0.0,0.0,0.0,0.0,15.95,0.0,25.74,3.66,7.2,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,0.0,0.0,0.0,0.0,16.33,0.0,0.0,0.0,0.0,0.0,7.51,0.0,0.0,0.0,0.0,0.0,17.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQUALLS,1.22,0.0,2.45,0,0.0,6.89,0.0,41.26,0.0,0.0,0.0,0.0,2.45,4.63,1.48,0.0,3.92,0.0,0.0,0.0,6.93,0.0,9.75,0.0,53.18,0.0,0.0,60.54,0.0,0.0,0.0,0.0,40.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,2.58,5.15,0.0,7.2,11.78,0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.66,0.0,0.0,62.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sleet,0.61,0.0,4.91,0,3.58,13.79,0.0,6.88,0.0,0.0,0.0,0.0,4.91,2.32,0.0,0.0,1.96,0.0,0.0,0.0,13.86,0.0,19.5,0.0,0.0,7.71,0.0,0.0,17.41,0.0,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38,0.0,2.57,0.0,14.4,5.89,0.0,0.0,0.0,19.5,0.0,12.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thunderstorm with drizzle,1.22,0.0,0,0,0.0,0.0,0.0,13.75,0.0,0.0,0.0,0.0,0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,6.93,0.0,0.0,0.0,17.73,0.0,0.0,20.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,7.75,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.13,0.0,0.0,19.22,0.0,0.0,20.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freezing rain,0.0,0.0,0,2.8,0,6.89,11.15,0.0,15.9,0.0,0.0,0.0,0,0.0,0.0,0.0,3.92,0.0,10.3,0.0,6.93,11.15,9.75,15.9,0.0,0.0,31.14,0.0,34.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.15,0.0,7.2,0.0,0.0,0.0,0.0,9.75,12.64,0.0,0.0,15.29,0.0,0.0,16.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.53,0.0,0.0,0.0,0.0,0.0,35.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shower snow,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sky is clear_0,0.59,11.5,0.12,0.14,0.11,0.05,0.33,0.15,0.13,0.27,0.36,6.47,0.12,0.24,0.54,1.05,0.17,1.27,0.13,3.05,0.06,0.33,0.07,0.13,0.16,0.03,0.05,0.07,0.02,0.05,0.09,0.0,0.09,0.12,0.01,0.08,0.27,0.34,0.0,0.0,0.07,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,11.5,0.1,0.74,0.15,0.35,0.06,0.41,0.14,0.19,1.26,0.07,0.31,0.29,1.05,0.1,0.78,0.98,0.13,0.08,0.34,0.24,0.18,0.03,0.15,1.75,0.57,0.07,0.47,0.04,0.21,0.15,0.21,0.06,0.11,0.02,0.18,0.04,0.02,0.12,0.52,0.05,0.04,0.09,0.0,0.29,0.09,0.09,0.06,0.0,0.0,0.12,0.32,0.16,0.01,0.05,0.14,0.05,0.09,0.52,0.11,0.26,0.1,0.25,0.27,0.34,0.0,0.27,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.2,2.7,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mist_0,0.19,0.11,11.99,3.08,3.2,3.43,2.67,2.26,4.93,0.69,1.83,0.13,11.99,0.44,0.17,0.14,2.44,0.08,2.76,0.06,3.19,2.67,3.0,4.93,2.18,3.32,3.17,3.39,4.21,2.02,2.12,3.77,2.96,2.51,2.54,2.75,0.69,2.99,3.71,3.21,1.64,1.65,3.48,2.57,1.83,3.05,4.3,2.44,6.09,0.11,10.88,0.26,2.98,0.07,3.29,0.71,0.21,0.45,0.23,3.0,2.88,0.63,0.07,3.62,0.02,0.12,4.93,0.1,2.01,1.46,0.08,3.31,2.29,0.11,0.0,3.47,0.0,3.58,1.91,1.05,0.69,0.08,0.3,4.24,0.46,0.0,0.68,0.41,1.11,2.02,0.68,2.12,0.0,1.23,2.18,2.96,0.0,2.9,3.81,2.51,0.41,3.22,2.47,1.3,0.7,1.95,2.68,0.51,0.76,0.3,0.99,3.33,0.69,2.99,1.5,1.8,1.57,3.71,1.83,1.64,3.21,1.35,3.05,1.65,1.74,0.0,0.0,3.48,2.57,0.0,0.0,0.0,2.21,1.83,3.05,0.0,4.57,6.09,2.44,4.3,0.0,0.0,0.0,0.0,0.0,0.0,6.09,0.0,0.0
broken clouds_0,4.75,1.12,0.27,0.51,0.41,0.24,0.54,0.53,0.14,0.0,1.11,1.3,0.27,2.18,3.04,2.75,0.59,1.47,0.46,0.13,0.28,0.54,0.29,0.14,0.57,0.12,0.32,0.18,0.08,1.01,0.6,0.05,0.23,0.42,0.2,0.21,0.0,0.24,0.0,0.0,0.43,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,1.12,0.21,4.41,0.54,0.78,0.29,3.15,0.85,1.59,3.32,0.29,0.5,0.97,1.03,0.44,1.27,2.31,0.12,0.83,0.59,0.62,0.63,0.11,0.55,2.15,0.42,0.18,0.72,0.21,0.5,0.44,0.48,0.29,0.37,0.08,0.5,0.11,0.09,0.11,0.61,1.01,0.27,0.6,0.21,0.53,0.57,0.23,0.7,0.22,0.05,0.42,1.98,0.49,0.21,0.89,0.0,1.19,0.22,0.46,0.7,1.63,0.6,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
